Station_ID,Year,Mo,Da,Temp,Max,Min,Prcp,Station_Name,Latitude,Longitude,zip_code,city,county
720278,2013,09,13,74.6,80.6,69.8,99.99,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2007,09,28,75.7,86,68,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2017,05,30,72.9,78.8,68,99.99,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2015,04,22,56.2,77,37.4,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2012,01,26,44.5,60.8,35.6,0,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2013,06,26,78.2,89.6,69.8,99.99,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2006,05,10,59.3,77,44.6,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2015,12,10,49.7,64.4,35.6,0,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2011,12,31,54.1,62.6,44.6,99.99,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2007,03,09,40,55.4,26.6,0,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2006,09,21,59.1,71.6,46.4,0,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2015,09,28,71.6,80.6,68,99.99,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2016,11,01,50.5,60.8,39.2,0,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2007,01,26,32.8,42.8,21.2,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2013,03,23,37.7,55.4,24.8,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2021,03,28,65.2,79.9,49.5,0.2,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
